Key,Korean(ko),English(en),French(fr),Russian(ru),German(de)
Sg5_12,"이렇게 흐름이 엉키면,차도 보행자도 다 위험해질 수 있어.","If the flow becomes entangled like this, it can be dangerous for both cars and pedestrians.","Si le flux devient ainsi enchevêtré, cela peut être dangereux pour les voitures et les piétons.","Если поток запутается подобным образом, это может быть опасно как для автомобилей, так и для пешеходов.","Kommt es zu einem derartigen Stau, kann dies sowohl für Autos als auch für Fußgänger gefährlich werden."
Sg5_13,"자,이제 어떻게 하면 되는지 같이 한번 볼까?","Okay, let's take a look at how to do it.","Ok, voyons comment procéder.","Хорошо, давайте посмотрим, как это сделать.","Okay, schauen wir uns an, wie es geht."
Sg5_14,"정말 간단해! 도로를 걸을 땐,멈추지 않고 끝까지 쭉 걷는 거야.","It's really simple! When you walk on the road, just walk straight to the end without stopping.","C'est très simple ! Quand vous marchez sur la route, allez droit au bout sans vous arrêter.","Это действительно просто! Когда вы идете по дороге, просто идите прямо до конца, не останавливаясь.","Es ist ganz einfach! Wenn Sie auf der Straße gehen, gehen Sie einfach geradeaus bis zum Ende, ohne anzuhalten."
Sg5_15,너라면 분명히 할 수 있을 거야. 믿고 있어!,I'm sure you can do it. I believe in you!,Je suis sûr que tu peux y arriver. Je crois en toi !,"Я уверен, ты сможешь это сделать. Я верю в тебя!","Ich bin sicher, dass du es schaffst. Ich glaube an dich!"
Sg5_16,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?","Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
Sg5_17,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,Reprenons la route et essayons à nouveau !,Давайте вернемся на дорогу и попробуем еще раз!,Lasst uns zurück auf die Straße gehen und es noch einmal versuchen!
Sg8_1,지금 그건… 정말 하면 안 되는 행동이었어.,Now that was… something I really shouldn’t have done.,C’était… quelque chose que je n’aurais vraiment pas dû faire.,"Вот это было… то, чего мне действительно не следовало делать.","Das war … etwas, was ich wirklich nicht hätte tun sollen."
Sg8_2,"왜 그런 위험한 행동을 한 거야? 장난이라도,그런 짓은 절대 하면 안 돼.","Why did you do something so dangerous? Even as a joke, you should never do something like that.","Pourquoi as-tu fait quelque chose d'aussi dangereux ? Même pour plaisanter, tu ne devrais jamais faire une chose pareille.","Зачем ты сделал что-то столь опасное? Даже в шутку, ты никогда не должен делать ничего подобного.",Warum hast du so etwas Gefährliches getan? Selbst im Scherz sollte man so etwas niemals tun.
Sg8_3,"너 지금,신호가 빨간불이었는데 건넜거나…혹은,횡단보도도 아닌데 도로에 들어왔지?","You just now, did you cross the street when the light was red? Or, did you enter the street when it wasn't a crosswalk?",Vous venez de dire : avez-vous traversé la rue alors que le feu était rouge ? Ou êtes-vous entré dans la rue alors qu'il n'y avait pas de passage piéton ?,"Вы только что, перешли улицу на красный свет? Или вы вышли на улицу, когда это был не пешеходный переход?","Haben Sie gerade die Straße bei Rot überquert? Oder sind Sie auf die Straße gelaufen, als es kein Zebrastreifen war?"
Sg8_4,"이럴 땐 차도 너를 못 보고,차가 멈추는 것도 거의 불가능해.","At times like this, the car can't see you, and it's almost impossible for the car to stop.","Dans des moments comme celui-ci, la voiture ne peut pas vous voir et il est presque impossible pour elle de s'arrêter.","В такие моменты машина вас не видит, и остановиться ей практически невозможно.",In solchen Momenten kann das Auto Sie nicht sehen und es ist für das Auto fast unmöglich anzuhalten.
Sg8_5,"정말,한순간에 큰 사고로 이어질 수 있어.","Seriously, it could lead to a major accident in an instant.","Sérieusement, cela pourrait conduire à un accident majeur en un instant.","Серьёзно, это может в одно мгновение привести к серьёзной аварии.","Im Ernst, es könnte sofort zu einem schweren Unfall führen."
Sg8_6,"신호등이랑 횡단보도는,사람이 언제 어디서 건널지 차가 알 수 있게 도와주는 약속이야.",Traffic lights and crosswalks are a promise to help cars know when and where people should cross.,Les feux de circulation et les passages piétons sont une promesse visant à aider les voitures à savoir quand et où les gens doivent traverser.,"Светофоры и пешеходные переходы призваны помочь водителям знать, когда и где следует переходить дорогу.","Ampeln und Zebrastreifen sollen dafür sorgen, dass Autos wissen, wann und wo die Straße überquert werden soll."
Sg8_7,"근데 그걸 지키지 않으면,차도 나도 서로 뭘 할지 몰라서,너무 위험해지는 거야.","But if we don't keep that in mind, it becomes too dangerous because neither the car nor I know what to do.","Mais si nous ne gardons pas cela à l'esprit, cela devient trop dangereux car ni la voiture ni moi ne savons quoi faire.","Но если мы не будем об этом помнить, это станет слишком опасно, потому что ни машина, ни я не будем знать, что делать.","Aber wenn wir das nicht im Hinterkopf behalten, wird es zu gefährlich, weil weder das Auto noch ich wissen, was zu tun ist."
Sg8_8,"그래서 길을 건널 땐,신호에 맞춰,정해진 길에서만 건너야 해.","So when crossing the street, you must follow the signal and only cross on the designated road.","Ainsi, lorsque vous traversez la rue, vous devez suivre le signal et traverser uniquement sur la route désignée.",Поэтому при переходе улицы необходимо следовать сигналам светофора и переходить дорогу только по обозначенной дороге.,Beim Überqueren der Straße müssen Sie daher der Ampel folgen und dürfen nur die dafür vorgesehene Straße überqueren.
Sg8_9,"그럼,이번엔 어떻게 해야 안전한지 차분히 보여줄게.","Okay, this time I'll show you calmly how to be safe.","Ok, cette fois je vais vous montrer calmement comment être en sécurité.","Хорошо, на этот раз я спокойно покажу вам, как быть в безопасности.","Okay, dieses Mal zeige ich Ihnen in aller Ruhe, wie Sie sicher bleiben."
Sg8_10,"빨간불일 땐,이렇게 노란 안전선 뒤에서 멈춰 있어야 해.","When the light is red, you must stop behind the yellow safety line like this.","Lorsque le feu est rouge, vous devez vous arrêter derrière la ligne de sécurité jaune comme ceci.","Когда загорается красный свет, вы должны остановиться за желтой линией безопасности, вот так.","Bei Rot müssen Sie hinter der gelben Sicherheitslinie anhalten, und zwar so."
Sg8_11,"초록불로 바뀌면,좌우를 확인하고 손을 들고 천천히 건너면 돼.","When the light turns green, look left and right, raise your hand, and cross slowly.","Lorsque le feu passe au vert, regardez à gauche et à droite, levez la main et traversez lentement.","Когда загорится зеленый свет, посмотрите налево и направо, поднимите руку и медленно переходите дорогу.","Wenn die Ampel grün wird, schauen Sie nach links und rechts, heben Sie die Hand und überqueren Sie langsam die Straße."
Sg8_12,"신호를 지키는 건,네 안전을 지키는 거란 걸 꼭 기억해.",Always remember that obeying the signal protects your safety.,N'oubliez jamais qu'obéir au signal protège votre sécurité.,"Всегда помните, что соблюдение сигнала обеспечивает вашу безопасность.","Denken Sie immer daran, dass Ihre Sicherheit durch die Befolgung des Signals gewährleistet ist."
Sg8_13,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?","Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
Sg8_14,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,Reprenons la route et essayons à nouveau !,Давайте вернемся на дорогу и попробуем еще раз!,Lasst uns zurück auf die Straße gehen und es noch einmal versuchen!
GsStart1,괜찮아. 누구나 실수할 수 있는 거야.,It's okay. Anyone can make mistakes.,Ce n'est pas grave. Tout le monde peut faire des erreurs.,Ничего страшного. Каждый может ошибаться.,Es ist okay. Jeder kann Fehler machen.
GsStart2,"방금 있었던 일이 왜 위험했는지,같이 살펴보자!",Let's take a look at why what just happened was dangerous!,Voyons pourquoi ce qui vient de se passer était dangereux !,"Давайте разберемся, почему произошедшее было опасным!","Schauen wir uns an, warum das, was gerade passiert ist, gefährlich war!"
GsHandUp1,아까 너는 그냥 걸어가기만 했지? 손은 안 들었더라.,"You just walked away earlier, didn't you? You didn't even raise your hand.","Tu es parti tout à l'heure, n'est-ce pas ? Tu n'as même pas levé la main.","Ты просто ушёл раньше, не так ли? Ты даже руку не поднял.","Du bist vorhin einfach weggegangen, oder? Du hast nicht einmal die Hand gehoben."
GsHandUp2,"손을 안 들면,차에 있는 사람들이 널 못 보고 차가 그냥 지나갈 수도 있어!","If you don't raise your hand, the people in the car might not see you and the car might just pass by!","Si vous ne levez pas la main, les personnes dans la voiture risquent de ne pas vous voir et la voiture risque de passer à côté !","Если вы не поднимете руку, люди в машине могут вас не заметить, и машина просто проедет мимо!","Wenn Sie Ihre Hand nicht heben, werden Sie von den Leuten im Auto möglicherweise nicht gesehen und das Auto fährt einfach vorbei!"
GsHandUp3,그럼 아야하겠지? 그래서 조심해야 해!,"Well, then you have to be careful, right?","Eh bien, il faut faire attention, n'est-ce pas ?","Ну, тогда вам нужно быть осторожным, верно?","Na, dann muss man doch vorsichtig sein, oder?"
GsHandUp4,"차에 있는 사람들은,앞이나 옆이 잘 안 보일 때도 있어.",People in cars sometimes have difficulty seeing in front or to the sides.,Les personnes en voiture ont parfois du mal à voir devant ou sur les côtés.,У людей в автомобилях иногда возникают проблемы с обзором вперед или по сторонам.,"Menschen in Autos haben manchmal Schwierigkeiten, nach vorne oder zur Seite zu sehen."
GsHandUp5,그래서 우리가 먼저 손을 들어서 알려주는 게 좋아.,So it's better for us to raise our hands first and let them know.,Il est donc préférable que nous levions d’abord la main et que nous le leur fassions savoir.,Поэтому нам лучше первыми поднять руки и дать им знать.,"Deshalb ist es für uns besser, zuerst die Hand zu heben und es ihnen mitzuteilen."
GsHandUp6,"봐봐,손도 안 들고 그냥 건너고 있지?","Look, he's just crossing without even raising his hand.","Regardez, il traverse sans même lever la main.","Смотрите, он просто переходит дорогу, даже не подняв руки.","Sehen Sie, er geht einfach über die Straße, ohne auch nur die Hand zu heben."
GsHandUp7,"손을 안 들면,운전자도 못 보고 멈추기 어려울 수 있어.","If you don't raise your hand, the driver may not be able to see you and it may be difficult to stop.","Si vous ne levez pas la main, le conducteur risque de ne pas vous voir et il pourrait être difficile de s’arrêter.","Если вы не поднимете руку, водитель может вас не увидеть, и остановиться будет сложно.","Wenn Sie Ihre Hand nicht heben, kann der Fahrer Sie möglicherweise nicht sehen und es kann schwierig sein, anzuhalten."
GsHandUp8,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?","Bon, alors, voyons ce qu’il faut faire maintenant ?","Ну что ж, посмотрим, что теперь делать?","Na, wollen wir mal sehen, was wir jetzt tun?"
GsHandUp9,이 친구는 건널 때 손을 들고 있지?,Isn't this guy raising his hand when he crosses?,Ce type ne lève-t-il pas la main quand il traverse ?,"Разве этот парень не поднимает руку, когда переходит дорогу?","Hebt dieser Typ nicht seine Hand, wenn er die Grenze überquert?"
GsHandUp10,그럼 차에 있는 사람들도 금방 알아볼 수 있어서 안전하게 건널 수 있어!,"Then, people in cars can quickly recognize you and cross the street safely!","Ainsi, les personnes en voiture pourront rapidement vous reconnaître et traverser la rue en toute sécurité !",Тогда люди в автомобилях смогут быстро вас узнать и безопасно перейти улицу!,Dann können Autofahrer Sie schnell erkennen und sicher die Straße überqueren!
GsEnd1,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?","Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
GsEnd2,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,Reprenons la route et essayons à nouveau !,Давайте вернемся на дорогу и попробуем еще раз!,Lasst uns zurück auf die Straße gehen und es noch einmal versuchen!
GsLookAround1,"아까 너는 초록불이 켜지자마자,아무 것도 안 보고 그냥 건넜어.","Earlier, as soon as the green light turned on, you just crossed without looking at anything.","Avant, dès que le feu vert s'allumait, on traversait sans rien regarder.","Раньше, как только загорался зеленый свет, вы просто переходили дорогу, не глядя ни на что.","Früher ging man, sobald die Ampel grün war, einfach über die Straße, ohne etwas zu beachten."
GsLookAround2,가끔은 차가 신호를 놓치고 그냥 지나갈 수도 있어. 그래서 우리가 먼저 확인해야 해.,"Sometimes cars miss the signal and just pass by, so we have to check first.","Parfois, les voitures ratent le signal et passent simplement, nous devons donc vérifier d'abord.","Иногда автомобили пропускают сигнал и просто проезжают мимо, поэтому нам приходится сначала проверять.","Manchmal verpassen Autos das Signal und fahren einfach vorbei, deshalb müssen wir zuerst nachsehen."
GsLookAround3,"신호가 바뀌었어도,옆에서 오는 차가 있을 수 있어.","Even if the signal changes, there may be a car coming from the side.","Même si le signal change, il se peut qu'une voiture arrive sur le côté.","Даже если сигнал светофора изменится, сбоку может появиться автомобиль.","Auch wenn die Ampel umschaltet, kann es sein, dass von der Seite ein Auto kommt."
GsLookAround4,"그래서 꼭,차가 멈췄는지 먼저 보고 건너야 해.","So, you must check first to see if the car has stopped before crossing.",Vous devez donc d’abord vérifier si la voiture s’est arrêtée avant de traverser.,"Поэтому перед тем, как пересечь дорогу, вам необходимо сначала проверить, остановилась ли машина.","Daher müssen Sie vor dem Überqueren zunächst prüfen, ob das Auto angehalten hat."
GsLookAround5,"봐봐,이 친구는 초록불이 켜지자마자 그냥 건너고 있어.","Look, this guy just crosses the street as soon as the light turns green.","Regardez, ce type traverse la rue dès que le feu passe au vert.","Смотри, этот парень просто переходит улицу, как только загорается зеленый свет.","Schauen Sie, dieser Typ überquert die Straße, sobald die Ampel grün wird."
GsLookAround6,깜짝이야! 진짜 놀랐어! 이렇게 초록불인데도 오는 차가 있을 수 있어!,Wow! I'm really surprised! There can be cars coming even when the light is green!,Waouh ! Je suis vraiment surpris ! Il peut y avoir des voitures qui arrivent même quand le feu est vert !,Ого! Я действительно удивлен! Машины могут ехать даже на зеленый свет!,Wow! Ich bin wirklich überrascht! Selbst bei Grün können Autos kommen!
GsLookAround7,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?","Bon, alors, voyons ce qu’il faut faire maintenant ?","Ну что ж, посмотрим, что теперь делать?","Na, wollen wir mal sehen, was wir jetzt tun?"
GsLookAround8,먼저 좌우를 살펴보고...,"First, look left and right...","Tout d’abord, regardez à gauche et à droite…",Сначала посмотрите налево и направо...,Schauen Sie zuerst nach links und rechts ...
GsLookAround9,봐봐! 이렇게 하면 진짜 안전하게 건널 수 있어!,"Look! If you do this, you can cross really safely!","Regardez ! Si vous faites ça, vous pourrez traverser en toute sécurité !","Смотри! Если ты это сделаешь, то сможешь перейти действительно безопасно!",Schau! So kommst du ganz sicher über die Straße!
Sg6_BlindSpot_1,괜찮아! 이건 잘 몰랐을 수도 있거든.,It's okay! You might not have known this.,C'est bon ! Vous ne le saviez peut-être pas.,Ничего страшного! Вы могли этого не знать.,Es ist okay! Das wussten Sie vielleicht nicht.
Sg6_BlindSpot_2,"왜 위험했는지,같이 알아보자!",Let's find out together why it was dangerous!,Découvrons ensemble pourquoi c'était dangereux !,"Давайте вместе выясним, почему это было опасно!","Lassen Sie uns gemeinsam herausfinden, warum es gefährlich war!"
Sg6_BlindSpot_3,사실 저기선 운전자가 널 못 봤을 수도 있어.,"Actually, the driver might not have seen you there.","En fait, le chauffeur ne vous a peut-être pas vu là.","На самом деле, водитель мог вас там не заметить.",Tatsächlich hat der Fahrer Sie dort möglicherweise nicht gesehen.
