Key,Korean(ko),English(en),Japanese(ja),Chinese (Simplified)(zh),French(fr),Hindi(hi),Russian(ru),German(de)
Sg1_11,"이런 식으로 하면,운전자도 너를 잘 볼 수 있어서 훨씬 더 안전해!","This way, the driver can see you better, so it's much safer!",こうすることで、運転手があなたをよく見ることができるので、はるかに安全になります。,这样，司机就能更好地看到你，所以更安全！,"De cette façon, le conducteur peut mieux vous voir, c'est donc beaucoup plus sûr !","इस तरह, ड्राइवर आपको बेहतर देख सकेगा, इसलिए यह अधिक सुरक्षित होगा!","Так водитель сможет вас лучше видеть, а значит, это намного безопаснее!",Auf diese Weise kann der Fahrer Sie besser sehen und es ist viel sicherer!
Sg1_12,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?",どうですか？これで何をすればいいか分かりましたね？,怎么样？现在你知道该怎么做了吧？,"Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","अब आप समझ गए होंगे कि क्या करना है, है न?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
Sg1_13,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,再び出発して、もう一度挑戦してみましょう!,让我们重新上路，再试一次！,Reprenons la route et essayons à nouveau !,"आइये, पुनः सड़क पर चलें और पुनः प्रयास करें!",Давайте вернемся на дорогу и попробуем еще раз!,Lasst uns zurück auf die Straße gehen und es noch einmal versuchen!
Sg4_1,괜찮아. 누구나 실수할 수 있는 거야.,It's okay. Anyone can make mistakes.,大丈夫。誰でも間違いを犯すことがある。,没关系，谁都会犯错。,Ce n'est pas grave. Tout le monde peut faire des erreurs.,"कोई बात नहीं, ग़लतियाँ तो कोई भी कर सकता है।",Ничего страшного. Каждый может ошибаться.,Es ist okay. Jeder kann Fehler machen.
Sg4_2,"방금 있었던 일이 왜 위험했는지,같이 살펴보자!",Let's take a look at why what just happened was dangerous!,今起こったことがなぜ危険だったのかを見てみましょう。,让我们看看为什么刚刚发生的事情是危险的！,Voyons pourquoi ce qui vient de se passer était dangereux !,आइये देखें कि अभी जो हुआ वह खतरनाक क्यों था!,"Давайте разберемся, почему произошедшее было опасным!","Schauen wir uns an, warum das, was gerade passiert ist, gefährlich war!"
Sg4_3,아까 넌 초록불이 깜빡이기 시작했을 때 건너기 시작했지?,"You started crossing when the green light started blinking, right?",青信号が点滅し始めたら渡り始めましたか？,当绿灯开始闪烁时你就开始过马路了，对吗？,"Vous avez commencé à traverser lorsque le feu vert a commencé à clignoter, n'est-ce pas ?","आपने तभी सड़क पार करना शुरू कर दिया था जब हरी बत्ती चमकने लगी थी, है ना?","Вы начали переходить дорогу, когда замигал зеленый свет, верно?","Sie haben mit dem Überqueren begonnen, als die grüne Ampel zu blinken begann, richtig?"
Sg4_4,"그때는 곧 신호가 바뀐다는 뜻이라서,건너기엔 너무 위험한 순간이야.","At that moment, it is too dangerous to cross because it means the signal will change soon.",その瞬間、信号がすぐに変わることを意味するので、渡るのは非常に危険です。,此时，过马路非常危险，因为这意味着信号很快就会改变。,"À ce moment-là, il est trop dangereux de traverser car cela signifie que le signal va bientôt changer.","उस समय, इसे पार करना बहुत खतरनाक है क्योंकि इसका मतलब है कि सिग्नल जल्द ही बदल जाएगा।","В этот момент переходить дорогу слишком опасно, поскольку это означает, что сигнал светофора скоро сменится.","In diesem Moment ist es zu gefährlich, die Straße zu überqueren, da dies bedeutet, dass die Ampel bald umschaltet."
Sg4_5,초록불이 깜빡이면 곧 빨간불로 바뀐다는 뜻이야.,"If the green light is blinking, it means it will soon turn red.",緑色のライトが点滅している場合は、もうすぐ赤色に変わることを意味します。,如果绿灯闪烁，则表示它很快就会变成红灯。,"Si le voyant vert clignote, cela signifie qu'il deviendra bientôt rouge.",यदि हरी बत्ती चमक रही है तो इसका मतलब है कि वह जल्द ही लाल हो जाएगी।,"Если мигает зеленый свет, значит, скоро он станет красным.","Wenn das grüne Licht blinkt, bedeutet dies, dass es bald rot wird."
Sg4_6,"이때 건너면, 길 한가운데에 멈춰 있게 될 수도 있고,차가 달려올 수도 있어.","If you cross at this time, you may end up stopped in the middle of the road, or a car may come running.",この時に渡ってしまうと、道路の真ん中で止まってしまったり、車が走ってきてしまう可能性があります。,如果此时过马路，您可能会停在路中间，或者可能会有车跑过来。,"Si vous traversez à ce moment-là, vous risquez de vous retrouver arrêté au milieu de la route ou une voiture pourrait arriver en trombe.","यदि आप इस समय सड़क पार करते हैं, तो हो सकता है कि आप सड़क के बीच में रुक जाएं, या कोई कार दौड़ती हुई आ जाए।","Если вы переходите дорогу в это время, вы можете оказаться остановившимся посреди дороги, или на вас может выскочить машина.","Wenn Sie zu dieser Zeit die Straße überqueren, bleiben Sie möglicherweise mitten auf der Straße stehen oder es kommt ein Auto angerannt."
Sg4_7,"봐봐,지금 깜빡이는데도 그냥 건너면....","Look, it's blinking right now, but if you just cross it...",ほら、今は点滅しているけど、それを渡れば...,看，它现在正在闪烁，但如果你穿过它......,"Regardez, ça clignote en ce moment, mais si vous le traversez...","देखो, यह अभी चमक रहा है, लेकिन यदि आप इसे पार कर जाएं...","Смотри, он сейчас мигает, но если ты просто его пересечешь...","Schauen Sie, es blinkt gerade, aber wenn Sie es einfach überqueren ..."
Sg4_8,아아! 이럴 줄 알았어!,Ahh! I knew it!,ああ！やっぱりそうだった！,啊！我就知道！,Ahh ! Je le savais !,आह! मुझे पता था!,Ах! Я так и знал!,Ahh! Ich wusste es!
Sg4_9,지키지 않으면 저런 상황이 나올 거야! 그러니까 꼭 지켜야 해! 그래야 진짜 안전해,"If you don't follow the rules, that kind of situation will happen! So you have to follow them! That's the only way to be truly safe.",ルールを守らないと、こういうことが起きるんです！だからルールは守らなきゃ！それが本当に安全でいる唯一の方法なんです。,如果你不遵守规则，就会发生这种情况！所以你必须遵守！这是真正安全的唯一方法。,"Si vous ne respectez pas les règles, ce genre de situation arrivera ! Alors, respectez-les ! C'est la seule façon d'être vraiment en sécurité.","अगर आप नियमों का पालन नहीं करेंगे, तो ऐसी स्थिति पैदा हो ही जाएगी! इसलिए आपको उनका पालन करना होगा! यही सही मायने में सुरक्षित रहने का एकमात्र तरीका है।","Если вы не будете следовать правилам, то такая ситуация будет происходить! Поэтому вам придется их соблюдать! Это единственный способ быть по-настоящему в безопасности.","Wenn du dich nicht an die Regeln hältst, kann es zu solchen Situationen kommen! Halte dich also unbedingt daran! Nur so bist du wirklich sicher."
Sg4_10,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?",さて、これから何をするか考えてみましょうか。,那么，我们现在看看该做什么好吗？,"Bon, alors, voyons ce qu’il faut faire maintenant ?","तो फिर, अब हम देखेंगे कि क्या करना है?","Ну что ж, посмотрим, что теперь делать?","Na, wollen wir mal sehen, was wir jetzt tun?"
Sg4_11,이 친구는 깜빡일 땐 멈추고 다음 신호까지 기다리는거 보이지?,Can you see this guy stopping when the light flashes and waiting until the next signal?,信号が点滅すると停止し、次の信号まで待っているこの人が見えますか?,你能看到这个家伙在灯闪烁时停下来等待下一个信号吗？,Pouvez-vous voir ce type s’arrêter lorsque le feu clignote et attendre le prochain signal ?,क्या आप इस आदमी को लाइट चमकने पर रुकते और अगले सिग्नल तक इंतजार करते हुए देख सकते हैं?,"Видите ли вы этого парня, который останавливается, когда мигает свет, и ждет следующего сигнала?","Können Sie sich vorstellen, dass dieser Typ anhält, wenn die Ampel blinkt, und auf das nächste Signal wartet?"
Sg4_12,"이렇게 기다렸다가 건너면,안전하게 길을 건널 수 있어!","If you wait like this and then cross, you can cross the road safely!",このように待って渡れば安全に道路を渡れます！,如果你这样等待然后再过马路，你就可以安全过马路了！,"Si vous attendez comme ça et que vous traversez ensuite, vous pourrez traverser la route en toute sécurité !","यदि आप इस तरह प्रतीक्षा करें और फिर सड़क पार करें, तो आप सुरक्षित रूप से सड़क पार कर सकते हैं!","Если вы подождете вот так, а затем перейдете дорогу, вы сможете перейти ее безопасно!","Wenn Sie so warten und dann überqueren, können Sie die Straße sicher überqueren!"
Sg4_13,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?",どうですか？これで何をすればいいか分かりましたね？,怎么样？现在你知道该怎么做了吧？,"Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","अब आप समझ गए होंगे कि क्या करना है, है न?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
Sg4_14,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,再び出発して、もう一度挑戦してみましょう!,让我们重新上路，再试一次！,Reprenons la route et essayons à nouveau !,"आइये, पुनः सड़क पर चलें और पुनः प्रयास करें!",Давайте вернемся на дорогу и попробуем еще раз!,Lasst uns zurück auf die Straße gehen und es noch einmal versuchen!
Sg5_1,괜찮아. 누구나 실수할 수 있는 거야.,It's okay. Anyone can make mistakes.,大丈夫。誰でも間違いを犯すことがある。,没关系，谁都会犯错。,Ce n'est pas grave. Tout le monde peut faire des erreurs.,"कोई बात नहीं, ग़लतियाँ तो कोई भी कर सकता है।",Ничего страшного. Каждый может ошибаться.,Es ist okay. Jeder kann Fehler machen.
Sg5_2,"방금 있었던 일이 왜 위험했는지,같이 살펴보자!",Let's take a look at why what just happened was dangerous!,今起こったことがなぜ危険だったのかを見てみましょう。,让我们看看为什么刚刚发生的事情是危险的！,Voyons pourquoi ce qui vient de se passer était dangereux !,आइये देखें कि अभी जो हुआ वह खतरनाक क्यों था!,"Давайте разберемся, почему произошедшее было опасным!","Schauen wir uns an, warum das, was gerade passiert ist, gefährlich war!"
Sg5_3,"방금,횡단보도에서 건너다가 중간에 갑자기 멈췄지?","Just now, you were crossing the street and suddenly stopped in the middle of the street?",先ほど、道路を横断中に突然道路の真ん中で立ち止まりましたか？,刚才你正在过马路，突然停在马路中间？,"Tout à l'heure, vous traversiez la rue et vous vous êtes soudainement arrêté au milieu de la rue ?",अभी आप सड़क पार कर रहे थे और अचानक सड़क के बीच में रुक गए?,Только что вы переходили улицу и внезапно остановились посреди дороги?,Sie sind gerade über die Straße gegangen und plötzlich mitten auf der Straße stehen geblieben?
Sg5_4,네가 걷는다고 생각하고 모두가 기다리고 있었는데,Everyone was waiting for you to walk,みんながあなたが歩くのを待っていた,大家都在等你走,Tout le monde attendait que tu marches,हर कोई तुम्हारे चलने का इंतज़ार कर रहा था,"Все ждали, когда ты пойдешь.","Alle haben darauf gewartet, dass du gehst"
Sg5_5,갑자기 멈추면 주변이 혼란스러워질 수 있어.,"If you stop suddenly, the surroundings may become chaotic.",急に止まると周囲が混乱する恐れがあります。,如果突然停下来，周围环境可能会变得混乱。,"Si vous vous arrêtez brusquement, l’environnement peut devenir chaotique.",यदि आप अचानक रुकेंगे तो आसपास का माहौल अस्त-व्यस्त हो सकता है।,"Если вы резко остановитесь, вокруг может начаться хаос.","Wenn Sie plötzlich anhalten, kann die Umgebung chaotisch werden."
Sg5_6,도로는 그냥 서 있기엔 너무 위험한 곳이야.,The road is too dangerous to just stand there.,その道は、ただそこに立っているには危険すぎる。,路太危险了，不能站在那里。,La route est trop dangereuse pour rester là.,सड़क इतनी खतरनाक है कि वहां खड़े रहना संभव नहीं है।,"Дорога слишком опасна, чтобы просто стоять там.","Die Straße ist zu gefährlich, um einfach nur dort zu stehen."
Sg5_7,차는 네가 계속 걷는다고 생각하고 멈춰 있었는데,The car stopped because it thought you were going to keep walking.,あなたが歩き続けるだろうと考えたので、車は止まりました。,汽车停了下来，因为它以为你会继续走路。,La voiture s'est arrêtée parce qu'elle pensait que tu allais continuer à marcher.,कार रुक गई क्योंकि उसे लगा कि आप चलते रहेंगे।,"Машина остановилась, потому что подумала, что вы пойдете дальше.","Das Auto hat angehalten, weil es dachte, Sie würden weiterlaufen."
Sg5_8,"멈춰버리면,차도 그렇고 뒤따라오는 사람들도 ‘어? 왜 멈췄지?’ 하고 당황할 수 있어.","If you stop, the car and the people following behind you may be confused and ask, ""Huh? Why did you stop?""",停止してしまうと、後続の車や人から「え？なんで止まったの？」と戸惑われるかもしれません。,如果你停下来，后面的车和人可能会感到困惑，并问：“啊？你为什么停下来？”,"Si vous vous arrêtez, la voiture et les personnes qui vous suivent pourraient être confuses et demander : « Hein ? Pourquoi vous êtes-vous arrêté ? »","यदि आप रुकते हैं, तो कार और आपके पीछे चल रहे लोग भ्रमित हो सकते हैं और पूछ सकते हैं, ""हं? आपने क्यों रुक गए?""","Если вы остановитесь, машина и люди, идущие за вами, могут растеряться и спросить: «А? Почему вы остановились?»","Wenn Sie anhalten, sind das Auto und die Leute hinter Ihnen möglicherweise verwirrt und fragen: „Hä? Warum haben Sie angehalten?“"
Sg5_9,"그렇게 흐름이 엉키면,더 위험한 상황이 생길 수 있어.","If the flow gets tangled like that, a more dangerous situation can arise.",このように流れが絡まってしまうと、さらに危険な状況が発生する可能性があります。,如果水流变得如此混乱，就会出现更危险的情况。,"Si le flux s’emmêle de cette façon, une situation plus dangereuse peut survenir.",यदि प्रवाह इस तरह उलझ गया तो अधिक खतरनाक स्थिति उत्पन्न हो सकती है।,"Если поток запутается подобным образом, может возникнуть более опасная ситуация.","Wenn der Fluss auf diese Weise durcheinander gerät, kann eine gefährlichere Situation entstehen."
Sg5_10,"그래서 도로 위에서는,멈추지 않고 쭉 걷는 게 가장 안전한 거야.","So, on the road, the safest thing to do is to just keep walking without stopping.",したがって、道路上で最も安全なのは、止まらずに歩き続けることです。,因此，在路上，最安全的做法就是一直走，不要停下来。,"Donc, sur la route, la chose la plus sûre à faire est de continuer à marcher sans s’arrêter.","इसलिए, सड़क पर सबसे सुरक्षित बात यह है कि बिना रुके चलते रहें।","Поэтому на дороге самое безопасное — просто продолжать идти, не останавливаясь.","Auf der Straße ist es am sichersten, einfach weiterzugehen, ohne anzuhalten."
Sg5_11,"방금처럼 갑자기 멈추면,뒤에 오는 사람도 놀라서 다칠 수 있어.","If you stop suddenly like you just did, people behind you could be surprised and get hurt.",今のように急に停止すると、後ろにいる人が驚いて怪我をする可能性があります。,如果您像刚才那样突然停车，后面的人可能会受到惊吓并受伤。,"Si vous vous arrêtez brusquement comme vous venez de le faire, les personnes derrière vous pourraient être surprises et se blesser.","यदि आप अचानक रुक गए, जैसा कि आपने अभी किया, तो आपके पीछे बैठे लोग आश्चर्यचकित हो सकते हैं और चोटिल हो सकते हैं।","Если вы резко остановитесь, как только что, люди позади вас могут быть удивлены и получить травмы.","Wenn Sie so plötzlich anhalten, wie Sie es gerade getan haben, könnten die Leute hinter Ihnen überrascht werden und verletzt werden."
Sg5_12,"이렇게 흐름이 엉키면,차도 보행자도 다 위험해질 수 있어.","If the flow becomes entangled like this, it can be dangerous for both cars and pedestrians.",このように流れが絡まってしまうと、車にとっても歩行者にとっても危険です。,如果车流像这样纠缠在一起，对汽车和行人来说都很危险。,"Si le flux devient ainsi enchevêtré, cela peut être dangereux pour les voitures et les piétons.",यदि प्रवाह इस तरह उलझ जाए तो यह कारों और पैदल यात्रियों दोनों के लिए खतरनाक हो सकता है।,"Если поток запутается подобным образом, это может быть опасно как для автомобилей, так и для пешеходов.","Kommt es zu einem derartigen Stau, kann dies sowohl für Autos als auch für Fußgänger gefährlich werden."
Sg5_13,"자,이제 어떻게 하면 되는지 같이 한번 볼까?","Okay, let's take a look at how to do it.",さて、やり方を見てみましょう。,好的，我们来看看怎么做。,"Ok, voyons comment procéder.","ठीक है, आइये देखें कि यह कैसे किया जाता है।","Хорошо, давайте посмотрим, как это сделать.","Okay, schauen wir uns an, wie es geht."
Sg5_14,"정말 간단해! 도로를 걸을 땐,멈추지 않고 끝까지 쭉 걷는 거야.","It's really simple! When you walk on the road, just walk straight to the end without stopping.",すごく簡単です！道を歩くときは、止まらずにまっすぐ突き当たりまで歩いてください。,很简单！走在路上，就一直走到尽头，不要停。,"C'est très simple ! Quand vous marchez sur la route, allez droit au bout sans vous arrêter.","यह बहुत आसान है! जब आप सड़क पर चलें, तो बिना रुके सीधे अंत तक चलें।","Это действительно просто! Когда вы идете по дороге, просто идите прямо до конца, не останавливаясь.","Es ist ganz einfach! Wenn Sie auf der Straße gehen, gehen Sie einfach geradeaus bis zum Ende, ohne anzuhalten."
Sg5_15,너라면 분명히 할 수 있을 거야. 믿고 있어!,I'm sure you can do it. I believe in you!,君ならきっとできるよ。信じてるよ！,我确信你能做到。我相信你！,Je suis sûr que tu peux y arriver. Je crois en toi !,मुझे यकीन है कि आप यह कर सकते हैं। मुझे आप पर विश्वास है!,"Я уверен, ты сможешь это сделать. Я верю в тебя!","Ich bin sicher, dass du es schaffst. Ich glaube an dich!"
Sg5_16,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?",どうですか？これで何をすればいいか分かりましたね？,怎么样？现在你知道该怎么做了吧？,"Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","अब आप समझ गए होंगे कि क्या करना है, है न?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
Sg5_17,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,再び出発して、もう一度挑戦してみましょう!,让我们重新上路，再试一次！,Reprenons la route et essayons à nouveau !,"आइये, पुनः सड़क पर चलें और पुनः प्रयास करें!",Давайте вернемся на дорогу и попробуем еще раз!,Lasst uns zurück auf die Straße gehen und es noch einmal versuchen!
Sg8_1,지금 그건… 정말 하면 안 되는 행동이었어.,Now that was… something I really shouldn’t have done.,あれは…本当にやってはいけないことだった。,那是……我真不该做的事。,C’était… quelque chose que je n’aurais vraiment pas dû faire.,अब यह तो... कुछ ऐसा था जो मुझे सचमुच नहीं करना चाहिए था।,"Вот это было… то, чего мне действительно не следовало делать.","Das war … etwas, was ich wirklich nicht hätte tun sollen."
Sg8_2,"왜 그런 위험한 행동을 한 거야? 장난이라도,그런 짓은 절대 하면 안 돼.","Why did you do something so dangerous? Even as a joke, you should never do something like that.",なぜそんな危険なことをしたんだ？冗談でも、あんなことは絶対にしてはいけないよ。,你为什么要做这么危险的事？就算是开玩笑，你也不应该做那种事。,"Pourquoi as-tu fait quelque chose d'aussi dangereux ? Même pour plaisanter, tu ne devrais jamais faire une chose pareille.",तुमने इतना खतरनाक काम क्यों किया? मज़ाक में भी तुम्हें ऐसा कुछ नहीं करना चाहिए।,"Зачем ты сделал что-то столь опасное? Даже в шутку, ты никогда не должен делать ничего подобного.",Warum hast du so etwas Gefährliches getan? Selbst im Scherz sollte man so etwas niemals tun.
Sg8_3,"너 지금,신호가 빨간불이었는데 건넜거나…혹은,횡단보도도 아닌데 도로에 들어왔지?","You just now, did you cross the street when the light was red? Or, did you enter the street when it wasn't a crosswalk?",あなたは今、赤信号の時に道路を渡りましたか？それとも、横断歩道がない時に道路に入りましたか？,你刚才，是在红灯亮的时候过马路吗？还是，是在没有人行横道的时候上街了？,Vous venez de dire : avez-vous traversé la rue alors que le feu était rouge ? Ou êtes-vous entré dans la rue alors qu'il n'y avait pas de passage piéton ?,क्या आपने अभी-अभी सड़क पार की जब लाल बत्ती थी? या फिर आप सड़क पर तब आए जब वह क्रॉसवॉक नहीं थी?,"Вы только что, перешли улицу на красный свет? Или вы вышли на улицу, когда это был не пешеходный переход?","Haben Sie gerade die Straße bei Rot überquert? Oder sind Sie auf die Straße gelaufen, als es kein Zebrastreifen war?"
Sg8_4,"이럴 땐 차도 너를 못 보고,차가 멈추는 것도 거의 불가능해.","At times like this, the car can't see you, and it's almost impossible for the car to stop.",このような場合、車はあなたを見ることができないため、車が停止することはほぼ不可能です。,在这种时候，汽车看不到你，而且汽车几乎不可能停下来。,"Dans des moments comme celui-ci, la voiture ne peut pas vous voir et il est presque impossible pour elle de s'arrêter.","ऐसे समय में, कार आपको देख नहीं पाती, और कार का रुकना लगभग असंभव हो जाता है।","В такие моменты машина вас не видит, и остановиться ей практически невозможно.",In solchen Momenten kann das Auto Sie nicht sehen und es ist für das Auto fast unmöglich anzuhalten.
Sg8_5,"정말,한순간에 큰 사고로 이어질 수 있어.","Seriously, it could lead to a major accident in an instant.",本当に一瞬で大事故につながる可能性があります。,严重的的话，瞬间就可能引发重大事故。,"Sérieusement, cela pourrait conduire à un accident majeur en un instant.",गंभीरता से कहें तो इससे एक पल में ही बड़ी दुर्घटना हो सकती है।,"Серьёзно, это может в одно мгновение привести к серьёзной аварии.","Im Ernst, es könnte sofort zu einem schweren Unfall führen."
Sg8_6,"신호등이랑 횡단보도는,사람이 언제 어디서 건널지 차가 알 수 있게 도와주는 약속이야.",Traffic lights and crosswalks are a promise to help cars know when and where people should cross.,信号機と横断歩道は、いつ、どこで横断すべきかを車が知るためのものです。,交通信号灯和人行横道旨在帮助车辆知道何时何地应该过马路。,Les feux de circulation et les passages piétons sont une promesse visant à aider les voitures à savoir quand et où les gens doivent traverser.,ट्रैफिक लाइट और क्रॉसवॉक से कारों को यह पता लगाने में मदद मिलेगी कि लोगों को कब और कहां से सड़क पार करनी चाहिए।,"Светофоры и пешеходные переходы призваны помочь водителям знать, когда и где следует переходить дорогу.","Ampeln und Zebrastreifen sollen dafür sorgen, dass Autos wissen, wann und wo die Straße überquert werden soll."
Sg8_7,"근데 그걸 지키지 않으면,차도 나도 서로 뭘 할지 몰라서,너무 위험해지는 거야.","But if we don't keep that in mind, it becomes too dangerous because neither the car nor I know what to do.",しかし、それを念頭に置いておかないと、車も私も何をすべきか分からなくなり、非常に危険になります。,但如果我们不记住这一点，就会变得太危险，因为无论是汽车还是我都不知道该怎么办。,"Mais si nous ne gardons pas cela à l'esprit, cela devient trop dangereux car ni la voiture ni moi ne savons quoi faire.","लेकिन अगर हम इसे ध्यान में नहीं रखेंगे, तो यह बहुत खतरनाक हो जाएगा, क्योंकि न तो कार को और न ही मुझे पता होगा कि क्या करना है।","Но если мы не будем об этом помнить, это станет слишком опасно, потому что ни машина, ни я не будем знать, что делать.","Aber wenn wir das nicht im Hinterkopf behalten, wird es zu gefährlich, weil weder das Auto noch ich wissen, was zu tun ist."
Sg8_8,"그래서 길을 건널 땐,신호에 맞춰,정해진 길에서만 건너야 해.","So when crossing the street, you must follow the signal and only cross on the designated road.",したがって、道路を横断するときは、信号に従い、指定された道路のみを横断する必要があります。,因此，过马路时，必须遵守信号灯，只在指定道路上过马路。,"Ainsi, lorsque vous traversez la rue, vous devez suivre le signal et traverser uniquement sur la route désignée.",इसलिए सड़क पार करते समय आपको सिग्नल का पालन करना चाहिए और केवल निर्धारित सड़क से ही सड़क पार करनी चाहिए।,Поэтому при переходе улицы необходимо следовать сигналам светофора и переходить дорогу только по обозначенной дороге.,Beim Überqueren der Straße müssen Sie daher der Ampel folgen und dürfen nur die dafür vorgesehene Straße überqueren.
